transaction_id,customer_id,amount,currency,transaction_date,status
TXN001,CUST_A,1500.00,GBP,2025-01-15,completed
TXN002,CUST_B,2300.50,GBP,2025-01-15,completed
TXN003,CUST_A,750.00,GBP,2025-01-16,pending
TXN004,CUST_C,4200.00,GBP,2025-01-16,completed
TXN005,CUST_B,890.25,GBP,2025-01-17,failed
TXN006,CUST_A,3100.00,GBP,2025-01-17,completed
TXN007,CUST_D,5600.00,GBP,2025-01-18,completed
TXN008,CUST_C,1200.00,GBP,2025-01-18,pending
TXN009,CUST_A,980.00,GBP,2025-01-19,completed
TXN010,CUST_D,4450.75,GBP,2025-01-19,completed
